DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2010-06-07 05:00:00,108.93,20101200,111.2,20100900,108.93,20101200
2010-06-08 05:00:00,109.53,20101200,111.8,20100900,109.53,20101200
2010-06-09 05:00:00,110.61,20101200,112.88,20100900,110.61,20101200
2010-06-10 05:00:00,111.76,20101200,114.03,20100900,111.76,20101200
2010-06-11 05:00:00,111.7,20101200,113.97,20100900,111.7,20101200
2010-06-14 05:00:00,111.02,20101200,113.29,20100900,111.02,20101200
2010-06-15 05:00:00,111.23,20101200,113.5,20100900,111.23,20101200
2010-06-16 05:00:00,111.21,20101200,113.48,20100900,111.21,20101200
2010-06-17 05:00:00,111.73,20101200,114.0,20100900,111.73,20101200
2010-06-18 05:00:00,112.28,20101200,114.55,20100900,112.28,20101200
2010-06-21 05:00:00,112.62,20101200,114.89,20100900,112.62,20101200
2010-06-22 05:00:00,112.29,20101200,114.56,20100900,112.29,20101200
2010-06-23 05:00:00,112.08,20101200,114.35,20100900,112.08,20101200
2010-06-24 05:00:00,112.03,20101200,114.3,20100900,112.03,20101200
2010-06-25 05:00:00,111.78,20101200,114.05,20100900,111.78,20101200
2010-06-28 05:00:00,111.59,20101200,113.86,20100900,111.59,20101200
2010-06-29 05:00:00,111.61,20101200,113.88,20100900,111.61,20101200
2010-06-30 05:00:00,111.86,20101200,114.13,20100900,111.86,20101200
2010-07-01 05:00:00,111.9,20101200,114.17,20100900,111.9,20101200
2010-07-02 05:00:00,112.46,20101200,114.73,20100900,112.46,20101200
2010-07-05 05:00:00,112.7,20101200,114.97,20100900,112.7,20101200
2010-07-06 05:00:00,112.23,20101200,114.5,20100900,112.23,20101200
2010-07-07 05:00:00,112.06,20101200,114.33,20100900,112.06,20101200
2010-07-08 05:00:00,112.24,20101200,114.51,20100900,112.24,20101200
2010-07-09 05:00:00,112.56,20101200,114.83,20100900,112.56,20101200
2010-07-12 05:00:00,112.5,20101200,114.77,20100900,112.5,20101200
2010-07-13 05:00:00,112.31,20101200,114.58,20100900,112.31,20101200
2010-07-14 05:00:00,111.85,20101200,114.12,20100900,111.85,20101200
2010-07-15 05:00:00,111.92,20101200,114.19,20100900,111.92,20101200
2010-07-16 05:00:00,112.45,20101200,114.72,20100900,112.45,20101200
2010-07-19 05:00:00,112.57,20101200,114.84,20100900,112.57,20101200
2010-07-20 05:00:00,113.02,20101200,115.29,20100900,113.02,20101200
2010-07-21 05:00:00,113.13,20101200,115.4,20100900,113.13,20101200
2010-07-22 05:00:00,113.15,20101200,115.42,20100900,113.15,20101200
2010-07-23 05:00:00,113.15,20101200,115.42,20100900,113.15,20101200
2010-07-26 05:00:00,113.43,20101200,115.7,20100900,113.43,20101200
