DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2007-03-05 06:00:00,116.11,20070900,116.13,20070600,116.11,20070900
2007-03-06 06:00:00,116.15,20070900,116.15,20070600,116.15,20070900
2007-03-07 06:00:00,116.18,20070900,116.17,20070600,116.18,20070900
2007-03-08 06:00:00,116.1,20070900,116.08,20070600,116.1,20070900
2007-03-09 06:00:00,115.93,20070900,115.87,20070600,115.93,20070900
2007-03-12 05:00:00,116.05,20070900,116.01,20070600,116.05,20070900
2007-03-13 05:00:00,116.32,20070900,116.28,20070600,116.32,20070900
2007-03-14 05:00:00,116.65,20070900,116.57,20070600,116.65,20070900
2007-03-15 05:00:00,116.36,20070900,116.3,20070600,116.36,20070900
2007-03-16 05:00:00,116.39,20070900,116.33,20070600,116.39,20070900
2007-03-19 05:00:00,116.18,20070900,116.13,20070600,116.18,20070900
2007-03-20 05:00:00,116.33,20070900,116.28,20070600,116.33,20070900
2007-03-21 05:00:00,116.19,20070900,116.14,20070600,116.19,20070900
2007-03-22 05:00:00,116.01,20070900,115.96,20070600,116.01,20070900
2007-03-23 05:00:00,115.61,20070900,115.56,20070600,115.61,20070900
2007-03-26 05:00:00,115.6,20070900,115.56,20070600,115.6,20070900
2007-03-27 05:00:00,115.37,20070900,115.34,20070600,115.37,20070900
2007-03-28 05:00:00,115.32,20070900,115.3,20070600,115.32,20070900
2007-03-29 05:00:00,115.08,20070900,115.06,20070600,115.08,20070900
2007-03-30 05:00:00,114.93,20070900,114.92,20070600,114.93,20070900
2007-04-02 05:00:00,114.93,20070900,114.9,20070600,114.93,20070900
2007-04-03 05:00:00,114.63,20070900,114.63,20070600,114.63,20070900
2007-04-04 05:00:00,114.9,20070900,114.88,20070600,114.9,20070900
2007-04-05 05:00:00,114.68,20070900,114.66,20070600,114.68,20070900
2007-04-10 05:00:00,114.38,20070900,114.38,20070600,114.38,20070900
2007-04-11 05:00:00,114.24,20070900,114.25,20070600,114.24,20070900
2007-04-12 05:00:00,113.9,20070900,113.91,20070600,113.9,20070900
2007-04-13 05:00:00,113.43,20070900,113.45,20070600,113.43,20070900
2007-04-16 05:00:00,113.7,20070900,113.71,20070600,113.7,20070900
