DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1979-12-18 06:00:00,,19800500,1.019,19800300,,19800500
1979-12-19 06:00:00,,19800500,1.016,19800300,,19800500
1979-12-20 06:00:00,,19800500,1.037,19800300,,19800500
1979-12-21 06:00:00,,19800500,1.041,19800300,,19800500
1979-12-26 06:00:00,,19800500,1.033,19800300,,19800500
1979-12-27 06:00:00,,19800500,1.031,19800300,,19800500
1979-12-28 06:00:00,,19800500,1.0315,19800300,,19800500
1979-12-31 06:00:00,,19800500,1.052,19800300,,19800500
1980-01-02 06:00:00,,19800500,1.102,19800300,,19800500
1980-01-03 06:00:00,,19800500,1.139,19800300,,19800500
1980-01-04 06:00:00,,19800500,1.115,19800300,,19800500
1980-01-07 06:00:00,,19800500,1.067,19800300,,19800500
1980-01-08 06:00:00,,19800500,1.033,19800300,,19800500
1980-01-09 06:00:00,,19800500,1.057,19800300,,19800500
1980-01-10 06:00:00,,19800500,1.04,19800300,,19800500
1980-01-11 06:00:00,,19800500,1.087,19800300,,19800500
1980-01-14 06:00:00,,19800500,1.103,19800300,,19800500
1980-01-15 06:00:00,,19800500,1.114,19800300,,19800500
1980-01-16 06:00:00,,19800500,1.164,19800300,,19800500
1980-01-17 06:00:00,,19800500,1.214,19800300,,19800500
1980-01-18 06:00:00,,19800500,1.289,19800300,,19800500
1980-01-21 06:00:00,,19800500,1.389,19800300,,19800500
1980-01-22 06:00:00,,19800500,1.289,19800300,,19800500
1980-01-23 06:00:00,,19800500,1.204,19800300,,19800500
1980-01-24 06:00:00,,19800500,1.263,19800300,,19800500
1980-01-25 06:00:00,,19800500,1.32,19800300,,19800500
1980-01-28 06:00:00,,19800500,1.264,19800300,,19800500
1980-01-29 06:00:00,,19800500,1.314,19800300,,19800500
1980-01-30 06:00:00,,19800500,1.338,19800300,,19800500
1980-01-31 06:00:00,,19800500,1.305,19800300,,19800500
1980-02-01 06:00:00,,19800500,1.3130000000000002,19800300,,19800500
1980-02-01 23:00:00,1.327,19800500,,19800300,1.327,19800500
1980-02-04 06:00:00,,19800500,1.263,19800300,,19800500
1980-02-04 23:00:00,1.277,19800500,,19800300,1.277,19800500
1980-02-05 06:00:00,,19800500,1.3130000000000002,19800300,,19800500
