DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1982-09-22 00:00:00,256.5,19830900,262.75,19831200,,19841200
1982-09-23 00:00:00,260.75,19830900,267.25,19831200,,19841200
1982-09-24 00:00:00,267.25,19830900,274.75,19831200,,19841200
1982-09-27 00:00:00,266.75,19830900,273.75,19831200,,19841200
1982-09-28 00:00:00,263.75,19830900,270.75,19831200,,19841200
1982-09-29 00:00:00,262.25,19830900,269.25,19831200,,19841200
1982-09-30 00:00:00,260.0,19830900,267.25,19831200,,19841200
1982-10-01 00:00:00,260.0,19830900,267.25,19831200,,19841200
1982-10-04 00:00:00,258.0,19830900,265.5,19831200,,19841200
1982-10-05 00:00:00,258.5,19830900,266.25,19831200,,19841200
1982-10-06 00:00:00,258.75,19830900,266.5,19831200,,19841200
1982-10-07 00:00:00,261.25,19830900,269.25,19831200,,19841200
1982-10-08 00:00:00,259.25,19830900,267.0,19831200,,19841200
1982-10-11 00:00:00,261.25,19830900,268.5,19831200,,19841200
1982-10-12 00:00:00,259.25,19830900,266.5,19831200,,19841200
1982-10-13 00:00:00,263.0,19830900,270.5,19831200,,19841200
1982-10-14 00:00:00,260.0,19830900,267.5,19831200,,19841200
1982-10-15 00:00:00,258.75,19830900,266.0,19831200,,19841200
1982-10-18 00:00:00,257.5,19830900,265.5,19831200,,19841200
1982-10-19 00:00:00,258.5,19830900,266.25,19831200,,19841200
1982-10-20 00:00:00,260.25,19830900,267.5,19831200,,19841200
1982-10-21 00:00:00,258.25,19830900,265.25,19831200,,19841200
1982-10-22 00:00:00,254.25,19830900,261.0,19831200,,19841200
1982-10-25 00:00:00,249.5,19830900,256.25,19831200,,19841200
1982-10-26 00:00:00,251.0,19830900,256.5,19831200,,19841200
1982-10-27 00:00:00,250.25,19830900,255.75,19831200,,19841200
1982-10-28 00:00:00,251.0,19830900,256.25,19831200,,19841200
1982-10-29 00:00:00,248.0,19830900,254.25,19831200,,19841200
1982-11-01 00:00:00,247.5,19830900,253.0,19831200,,19841200
1982-11-03 00:00:00,247.25,19830900,254.0,19831200,,19841200
1982-11-04 00:00:00,250.25,19830900,257.0,19831200,,19841200
1982-11-05 00:00:00,256.0,19830900,262.25,19831200,,19841200
1982-11-08 00:00:00,257.0,19830900,263.25,19831200,,19841200
1982-11-09 00:00:00,256.5,19830900,262.25,19831200,,19841200
1982-11-10 00:00:00,257.25,19830900,263.25,19831200,,19841200
1982-11-11 00:00:00,260.5,19830900,266.5,19831200,,19841200
1982-11-12 00:00:00,258.5,19830900,264.75,19831200,,19841200
1982-11-15 00:00:00,256.75,19830900,263.5,19831200,,19841200
1982-11-16 00:00:00,259.75,19830900,265.5,19831200,,19841200
1982-11-17 00:00:00,261.0,19830900,267.0,19831200,,19841200
1982-11-18 00:00:00,261.75,19830900,268.75,19831200,,19841200
1982-11-19 00:00:00,263.0,19830900,270.5,19831200,,19841200
1982-11-22 00:00:00,263.0,19830900,270.25,19831200,,19841200
1982-11-23 00:00:00,263.25,19830900,270.5,19831200,,19841200
1982-11-24 00:00:00,263.5,19830900,271.0,19831200,,19841200
1982-11-26 00:00:00,263.75,19830900,270.75,19831200,,19841200
1982-11-29 00:00:00,259.5,19830900,266.5,19831200,,19841200
1982-11-30 00:00:00,258.75,19830900,266.25,19831200,,19841200
1982-12-01 00:00:00,257.25,19830900,264.75,19831200,,19841200
1982-12-02 00:00:00,255.25,19830900,263.25,19831200,,19841200
1982-12-03 00:00:00,254.5,19830900,262.5,19831200,,19841200
1982-12-06 00:00:00,258.0,19830900,265.75,19831200,,19841200
1982-12-07 00:00:00,261.25,19830900,269.25,19831200,,19841200
1982-12-08 00:00:00,260.25,19830900,269.25,19831200,,19841200
1982-12-09 00:00:00,263.75,19830900,273.0,19831200,,19841200
1982-12-10 00:00:00,262.5,19830900,271.75,19831200,,19841200
1982-12-13 00:00:00,264.0,19830900,273.25,19831200,,19841200
1982-12-14 00:00:00,262.5,19830900,270.25,19831200,,19841200
1982-12-15 00:00:00,261.75,19830900,270.0,19831200,,19841200
1982-12-16 00:00:00,260.25,19830900,268.75,19831200,,19841200
1982-12-17 00:00:00,260.5,19830900,269.25,19831200,,19841200
1982-12-20 00:00:00,260.75,19830900,269.25,19831200,,19841200
1982-12-21 00:00:00,261.0,19830900,269.0,19831200,,19841200
1982-12-22 00:00:00,260.5,19830900,268.25,19831200,,19841200
1982-12-23 00:00:00,261.25,19830900,269.5,19831200,,19841200
1982-12-27 00:00:00,264.0,19830900,271.75,19831200,,19841200
1982-12-28 00:00:00,265.75,19830900,274.75,19831200,,19841200
1982-12-29 00:00:00,264.5,19830900,274.0,19831200,,19841200
1982-12-30 00:00:00,264.0,19830900,273.5,19831200,,19841200
1983-01-03 00:00:00,265.25,19830900,274.5,19831200,,19841200
1983-01-04 00:00:00,264.0,19830900,273.5,19831200,,19841200
1983-01-05 00:00:00,266.0,19830900,275.5,19831200,,19841200
1983-01-06 00:00:00,267.0,19830900,276.25,19831200,,19841200
1983-01-07 00:00:00,268.75,19830900,277.5,19831200,,19841200
1983-01-10 00:00:00,270.5,19830900,279.25,19831200,,19841200
1983-01-11 00:00:00,270.25,19830900,277.75,19831200,,19841200
