DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1983-05-12 05:00:00,29.49,19830700,29.28,19830800,29.3,19830900
1983-05-13 05:00:00,29.54,19830700,29.3,19830800,29.35,19830900
1983-05-16 05:00:00,29.99,19830700,29.72,19830800,29.75,19830900
1983-05-17 05:00:00,29.97,19830700,29.8,19830800,29.78,19830900
1983-05-18 05:00:00,29.9,19830700,29.75,19830800,29.73,19830900
1983-05-19 05:00:00,29.95,19830700,29.8,19830800,29.75,19830900
1983-05-20 05:00:00,30.3,19830700,30.23,19830800,30.2,19830900
1983-05-23 05:00:00,30.27,19830700,30.22,19830800,30.15,19830900
1983-05-24 05:00:00,30.05,19830700,30.0,19830800,29.93,19830900
1983-05-25 05:00:00,30.25,19830700,30.11,19830800,30.04,19830900
1983-05-26 05:00:00,30.31,19830700,30.25,19830800,30.2,19830900
1983-05-27 05:00:00,30.19,19830700,30.13,19830800,30.15,19830900
1983-05-31 05:00:00,30.25,19830700,30.1,19830800,30.05,19830900
1983-06-01 05:00:00,30.33,19830700,30.22,19830800,30.15,19830900
1983-06-02 05:00:00,30.4,19830700,30.3,19830800,30.2,19830900
1983-06-03 05:00:00,30.36,19830700,30.3,19830800,30.25,19830900
1983-06-06 05:00:00,30.35,19830700,30.27,19830800,30.15,19830900
1983-06-07 05:00:00,30.59,19830700,30.5,19830800,30.39,19830900
1983-06-08 05:00:00,30.6,19830700,30.5,19830800,30.4,19830900
1983-06-09 05:00:00,30.49,19830700,30.4,19830800,30.34,19830900
1983-06-10 05:00:00,30.77,19830700,30.63,19830800,30.55,19830900
1983-06-13 05:00:00,30.9,19830800,30.8,19830900,30.72,19831000
1983-06-14 05:00:00,30.91,19830800,30.75,19830900,30.75,19831000
1983-06-15 05:00:00,31.2,19830800,31.05,19830900,31.0,19831000
1983-06-16 05:00:00,31.29,19830800,31.2,19830900,31.22,19831000
1983-06-17 05:00:00,31.29,19830800,31.12,19830900,31.14,19831000
1983-06-20 05:00:00,31.42,19830800,31.3,19830900,31.35,19831000
1983-06-21 05:00:00,31.18,19830800,31.02,19830900,31.05,19831000
1983-06-22 05:00:00,30.95,19830800,30.8,19830900,30.8,19831000
1983-06-23 05:00:00,31.1,19830800,30.95,19830900,30.95,19831000
1983-06-24 05:00:00,31.2,19830800,31.1,19830900,31.15,19831000
1983-06-27 05:00:00,31.2,19830800,31.05,19830900,31.02,19831000
1983-06-28 05:00:00,31.24,19830800,31.1,19830900,31.05,19831000
1983-06-29 05:00:00,31.2,19830800,31.05,19830900,31.05,19831000
1983-06-30 05:00:00,31.38,19830800,31.21,19830900,31.21,19831000
