DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1980-06-17 05:00:00,2.2735,19801200,2.294,19800900,2.2735,19801200
1980-06-18 05:00:00,2.2685,19801200,2.2880000000000003,19800900,2.2685,19801200
1980-06-19 05:00:00,2.2735,19801200,2.294,19800900,2.2735,19801200
1980-06-20 05:00:00,2.2685,19801200,2.29,19800900,2.2685,19801200
1980-06-23 05:00:00,2.28,19801200,2.302,19800900,2.28,19801200
1980-06-24 05:00:00,2.2705,19801200,2.296,19800900,2.2705,19801200
1980-06-25 05:00:00,2.274,19801200,2.2955,19800900,2.274,19801200
1980-06-26 05:00:00,2.293,19801200,2.316,19800900,2.293,19801200
1980-06-27 05:00:00,2.295,19801200,2.316,19800900,2.295,19801200
1980-06-30 05:00:00,2.3025,19801200,2.3225,19800900,2.3025,19801200
1980-07-01 05:00:00,2.3080000000000003,19801200,2.3295,19800900,2.3080000000000003,19801200
1980-07-02 05:00:00,2.303,19801200,2.325,19800900,2.303,19801200
1980-07-03 05:00:00,2.3025,19801200,2.3245,19800900,2.3025,19801200
1980-07-07 05:00:00,2.3275,19801200,2.3495,19800900,2.3275,19801200
1980-07-08 05:00:00,2.318,19801200,2.3393,19800900,2.318,19801200
1980-07-09 05:00:00,2.3195,19801200,2.3435,19800900,2.3195,19801200
1980-07-10 05:00:00,2.3255,19801200,2.3485,19800900,2.3255,19801200
1980-07-11 05:00:00,2.3265,19801200,2.3495,19800900,2.3265,19801200
1980-07-14 05:00:00,2.3285,19801200,2.3495,19800900,2.3285,19801200
1980-07-15 05:00:00,2.3280000000000003,19801200,2.346,19800900,2.3280000000000003,19801200
1980-07-16 05:00:00,2.3325,19801200,2.351,19800900,2.3325,19801200
1980-07-17 05:00:00,2.33,19801200,2.3505,19800900,2.33,19801200
1980-07-18 05:00:00,2.334,19801200,2.3545,19800900,2.334,19801200
1980-07-21 05:00:00,2.3335,19801200,2.3555,19800900,2.3335,19801200
1980-07-22 05:00:00,2.3395,19801200,2.3645,19800900,2.3395,19801200
1980-07-23 05:00:00,2.3365,19801200,2.36,19800900,2.3365,19801200
1980-07-24 05:00:00,2.349,19801200,2.3725,19800900,2.349,19801200
1980-07-25 05:00:00,2.353,19801200,2.375,19800900,2.353,19801200
1980-07-28 05:00:00,2.334,19801200,2.3565,19800900,2.334,19801200
1980-07-29 05:00:00,2.3195,19801200,2.3415,19800900,2.3195,19801200
1980-07-30 05:00:00,2.3025,19801200,2.3225,19800900,2.3025,19801200
1980-07-31 05:00:00,2.2845,19801200,2.3040000000000003,19800900,2.2845,19801200
1980-08-01 05:00:00,2.2965,19801200,2.318,19800900,2.2965,19801200
1980-08-04 05:00:00,2.31,19801200,2.3335,19800900,2.31,19801200
1980-08-05 05:00:00,2.31,19801200,2.336,19800900,2.31,19801200
1980-08-06 05:00:00,2.3255,19801200,2.3565,19800900,2.3255,19801200
1980-08-07 05:00:00,2.3315,19801200,2.36,19800900,2.3315,19801200
1980-08-08 05:00:00,2.3235,19801200,2.3545,19800900,2.3235,19801200
1980-08-11 05:00:00,2.325,19801200,2.354,19800900,2.325,19801200
1980-08-12 05:00:00,2.3335,19801200,2.362,19800900,2.3335,19801200
1980-08-13 05:00:00,2.3315,19801200,2.3615,19800900,2.3315,19801200
1980-08-14 05:00:00,2.336,19801200,2.365,19800900,2.336,19801200
1980-08-15 05:00:00,2.3335,19801200,2.3615,19800900,2.3335,19801200
1980-08-18 05:00:00,2.317,19801200,2.346,19800900,2.317,19801200
1980-08-19 05:00:00,2.319,19801200,2.346,19800900,2.319,19801200
1980-08-20 05:00:00,2.329,19801200,2.356,19800900,2.329,19801200
1980-08-21 05:00:00,2.33,19801200,2.356,19800900,2.33,19801200
1980-08-22 05:00:00,2.337,19801200,2.3635,19800900,2.337,19801200
1980-08-25 05:00:00,2.332,19801200,2.359,19800900,2.332,19801200
1980-08-26 05:00:00,2.3505,19801200,2.374,19800900,2.3505,19801200
1980-08-27 05:00:00,2.3605,19801200,2.384,19800900,2.3605,19801200
1980-08-28 05:00:00,2.359,19801200,2.3825,19800900,2.359,19801200
1980-08-29 05:00:00,2.3795,19801200,2.401,19800900,2.3795,19801200
1980-09-02 05:00:00,2.387,19801200,2.412,19800900,2.387,19801200
1980-09-03 05:00:00,2.3795,19801200,2.403,19800900,2.3795,19801200
1980-09-04 05:00:00,2.3905,19801200,2.415,19800900,2.3905,19801200
1980-09-05 05:00:00,2.389,19801200,2.412,19800900,2.389,19801200
1980-09-08 05:00:00,2.3915,19801200,2.4155,19800900,2.3915,19801200
1980-09-09 05:00:00,2.3775,19801200,2.4,19800900,2.3775,19801200
1980-09-10 05:00:00,2.3785,19801200,2.4015,19800900,2.3785,19801200
1980-09-11 05:00:00,2.3985,19801200,2.422,19800900,2.3985,19801200
1980-09-12 05:00:00,2.3865,19801200,2.408,19800900,2.3865,19801200
1980-09-15 05:00:00,2.369,19801200,2.3925,19800900,2.369,19801200
1980-09-16 05:00:00,2.359,19810300,2.3655,19801200,2.359,19810300
1980-09-17 05:00:00,2.364,19810300,2.372,19801200,2.364,19810300
1980-09-18 05:00:00,2.3605,19810300,2.3645,19801200,2.3605,19810300
1980-09-19 05:00:00,2.36,19810300,2.365,19801200,2.36,19810300
1980-09-22 05:00:00,2.381,19810300,2.3875,19801200,2.381,19810300
1980-09-23 05:00:00,2.3775,19810300,2.3835,19801200,2.3775,19810300
1980-09-24 05:00:00,2.374,19810300,2.3785,19801200,2.374,19810300
1980-09-25 05:00:00,2.3785,19810300,2.385,19801200,2.3785,19810300
1980-09-26 05:00:00,2.372,19810300,2.3745,19801200,2.372,19810300
1980-09-29 05:00:00,2.377,19810300,2.3775,19801200,2.377,19810300
1980-09-30 05:00:00,2.371,19810300,2.3725,19801200,2.371,19810300
1980-10-01 05:00:00,2.38,19810300,2.3835,19801200,2.38,19810300
1980-10-02 05:00:00,2.3765,19810300,2.3795,19801200,2.3765,19810300
1980-10-03 05:00:00,2.3925,19810300,2.3935,19801200,2.3925,19810300
1980-10-06 05:00:00,2.3815,19810300,2.387,19801200,2.3815,19810300
1980-10-07 05:00:00,2.3805,19810300,2.3825,19801200,2.3805,19810300
1980-10-08 05:00:00,2.376,19810300,2.381,19801200,2.376,19810300
1980-10-09 05:00:00,2.385,19810300,2.39,19801200,2.385,19810300
