DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2001-03-09 23:00:00,70.6,20010900,70.3,20010600,70.6,20010900
2001-03-12 23:00:00,68.2,20010900,67.4,20010600,68.2,20010900
2001-03-13 23:00:00,66.7,20010900,65.8,20010600,66.7,20010900
2001-03-14 23:00:00,67.5,20010900,67.35,20010600,67.5,20010900
2001-03-15 23:00:00,67.2,20010900,67.65,20010600,67.2,20010900
2001-03-16 23:00:00,67.2,20010900,66.8,20010600,67.2,20010900
2001-03-19 23:00:00,67.4,20010900,66.9,20010600,67.4,20010900
2001-03-20 23:00:00,66.8,20010900,66.45,20010600,66.8,20010900
2001-03-21 23:00:00,67.0,20010900,66.7,20010600,67.0,20010900
2001-03-22 23:00:00,66.95,20010900,65.75,20010600,66.95,20010900
2001-03-23 23:00:00,67.15,20010900,67.3,20010600,67.15,20010900
2001-03-26 23:00:00,67.8,20010900,67.8,20010600,67.8,20010900
2001-03-27 23:00:00,66.25,20010900,66.25,20010600,66.25,20010900
2001-03-28 23:00:00,66.5,20010900,66.05,20010600,66.5,20010900
2001-03-29 23:00:00,66.35,20010900,65.3,20010600,66.35,20010900
2001-03-30 23:00:00,65.5,20010900,65.25,20010600,65.5,20010900
2001-04-02 23:00:00,64.4,20010900,64.3,20010600,64.4,20010900
2001-04-03 23:00:00,62.7,20010900,62.8,20010600,62.7,20010900
2001-04-04 23:00:00,63.3,20010900,61.95,20010600,63.3,20010900
2001-04-06 23:00:00,63.7,20010900,62.9,20010600,63.7,20010900
2001-04-09 23:00:00,62.3,20010900,62.0,20010600,62.3,20010900
2001-04-10 23:00:00,61.45,20010900,60.8,20010600,61.45,20010900
2001-04-11 23:00:00,63.1,20010900,62.75,20010600,63.1,20010900
2001-04-12 23:00:00,64.5,20010900,64.2,20010600,64.5,20010900
2001-04-13 23:00:00,64.2,20010900,64.15,20010600,64.2,20010900
