DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1980-04-21 06:00:00,64.325,19800600,64.7,19800800,64.1,19801000
1980-04-22 06:00:00,65.0,19800600,65.05,19800800,63.625,19801000
1980-04-23 06:00:00,66.4,19800600,66.075,19800800,64.45,19801000
1980-04-24 06:00:00,66.55,19800600,65.325,19800800,64.1,19801000
1980-04-25 06:00:00,66.45,19800600,65.65,19800800,64.0,19801000
1980-04-28 05:00:00,66.4,19800600,65.5,19800800,63.45,19801000
1980-04-29 05:00:00,65.75,19800600,64.7,19800800,63.175,19801000
1980-04-30 05:00:00,64.825,19800600,64.125,19800800,62.525,19801000
1980-05-01 05:00:00,64.125,19800600,63.125,19800800,61.35,19801000
1980-05-02 05:00:00,63.55,19800600,62.75,19800800,61.5,19801000
1980-05-05 05:00:00,64.15,19800600,64.125,19800800,62.85,19801000
1980-05-06 05:00:00,63.325,19800600,63.4,19800800,62.4,19801000
1980-05-07 05:00:00,64.825,19800600,64.9,19800800,63.9,19801000
1980-05-08 05:00:00,66.325,19800600,66.4,19800800,64.925,19801000
1980-05-09 05:00:00,67.175,19800600,67.25,19800800,65.125,19801000
1980-05-12 05:00:00,67.35,19800600,67.3,19800800,65.175,19801000
1980-05-13 05:00:00,66.725,19800600,66.35,19800800,64.65,19801000
1980-05-14 05:00:00,66.325,19800600,66.525,19800800,64.95,19801000
1980-05-15 05:00:00,64.825,19800600,65.025,19800800,63.45,19801000
1980-05-16 05:00:00,65.025,19800600,65.325,19800800,63.875,19801000
1980-05-19 05:00:00,64.975,19800600,65.35,19800800,64.05,19801000
1980-05-20 05:00:00,63.5,19800600,63.85,19800800,62.85,19801000
1980-05-21 05:00:00,63.95,19800600,64.025,19800800,62.825,19801000
1980-05-22 05:00:00,65.15,19800600,65.25,19800800,63.8,19801000
1980-05-23 05:00:00,65.35,19800600,65.175,19800800,63.575,19801000
1980-05-27 05:00:00,65.975,19800600,66.075,19800800,64.6,19801000
1980-05-28 05:00:00,65.6,19800600,66.125,19800800,64.8,19801000
1980-05-29 05:00:00,64.65,19800600,64.775,19800800,63.95,19801000
1980-05-30 05:00:00,65.3,19800600,65.375,19800800,63.975,19801000
1980-06-02 05:00:00,64.275,19800600,63.875,19800800,62.475,19801000
1980-06-03 05:00:00,64.525,19800600,63.425,19800800,62.3,19801000
1980-06-04 05:00:00,64.8,19800600,63.7,19800800,62.675,19801000
1980-06-05 05:00:00,64.625,19800600,63.275,19800800,62.3,19801000
1980-06-06 05:00:00,65.65,19800600,64.45,19800800,63.2,19801000
1980-06-09 05:00:00,66.575,19800600,65.725,19800800,64.625,19801000
1980-06-10 05:00:00,66.6,19800600,65.9,19800800,64.775,19801000
1980-06-11 05:00:00,67.15,19800600,67.05,19800800,65.5,19801000
1980-06-12 05:00:00,67.025,19800600,66.475,19800800,65.1,19801000
1980-06-13 05:00:00,67.5,19800600,67.0,19800800,65.675,19801000
1980-06-16 05:00:00,67.75,19800600,66.475,19800800,65.1,19801000
1980-06-17 05:00:00,68.775,19800600,67.75,19800800,66.175,19801000
1980-06-18 05:00:00,69.125,19800600,67.425,19800800,65.625,19801000
1980-06-19 05:00:00,68.925,19800600,66.2,19800800,64.575,19801000
1980-06-20 05:00:00,69.025,19800600,67.3,19800800,65.425,19801000
1980-06-23 05:00:00,68.8,19800800,66.925,19801000,68.05,19801200
1980-06-24 05:00:00,69.125,19800800,66.875,19801000,67.575,19801200
1980-06-25 05:00:00,69.825,19800800,67.45,19801000,68.2,19801200
1980-06-26 05:00:00,69.05,19800800,66.85,19801000,67.475,19801200
1980-06-27 05:00:00,68.75,19800800,66.925,19801000,67.425,19801200
1980-06-30 05:00:00,68.7,19800800,66.925,19801000,67.625,19801200
1980-07-01 05:00:00,69.5,19800800,67.8,19801000,68.475,19801200
1980-07-02 05:00:00,71.0,19800800,69.3,19801000,69.975,19801200
1980-07-03 05:00:00,71.325,19800800,69.15,19801000,69.55,19801200
1980-07-07 05:00:00,71.0,19800800,68.675,19801000,69.0,19801200
1980-07-08 05:00:00,70.75,19800800,68.65,19801000,69.05,19801200
1980-07-09 05:00:00,71.425,19800800,69.025,19801000,69.35,19801200
1980-07-10 05:00:00,71.3,19800800,68.875,19801000,69.125,19801200
1980-07-11 05:00:00,70.45,19800800,67.825,19801000,67.8,19801200
1980-07-14 05:00:00,68.95,19800800,66.825,19801000,67.725,19801200
1980-07-15 05:00:00,69.475,19800800,67.05,19801000,67.9,19801200
1980-07-16 05:00:00,70.125,19800800,67.8,19801000,68.35,19801200
1980-07-17 05:00:00,69.825,19800800,67.575,19801000,68.175,19801200
1980-07-18 05:00:00,70.675,19800800,68.3,19801000,69.275,19801200
1980-07-21 05:00:00,70.525,19800800,68.2,19801000,69.35,19801200
1980-07-22 05:00:00,71.925,19800800,69.45,19801000,70.15,19801200
1980-07-23 05:00:00,73.175,19800800,70.8,19801000,71.35,19801200
1980-07-24 05:00:00,72.8,19800800,70.275,19801000,70.95,19801200
1980-07-25 05:00:00,73.95,19800800,71.275,19801000,71.65,19801200
1980-07-28 05:00:00,73.775,19800800,71.425,19801000,71.7,19801200
1980-07-29 05:00:00,73.85,19800800,71.35,19801000,70.85,19801200
1980-07-30 05:00:00,72.4,19800800,69.95,19801000,69.85,19801200
1980-07-31 05:00:00,72.6,19800800,70.575,19801000,70.55,19801200
1980-08-01 05:00:00,72.275,19800800,69.7,19801000,70.025,19801200
1980-08-04 05:00:00,73.225,19800800,70.45,19801000,70.475,19801200
1980-08-05 05:00:00,72.55,19800800,69.5,19801000,69.4,19801200
1980-08-06 05:00:00,73.15,19800800,69.575,19801000,69.4,19801200
1980-08-07 05:00:00,73.1,19800800,69.7,19801000,69.35,19801200
1980-08-08 05:00:00,74.6,19800800,71.2,19801000,70.775,19801200
1980-08-11 05:00:00,74.125,19800800,70.4,19801000,69.8,19801200
1980-08-12 05:00:00,73.4,19800800,69.875,19801000,69.125,19801200
1980-08-13 05:00:00,74.125,19800800,70.525,19801000,69.75,19801200
1980-08-14 05:00:00,74.4,19800800,70.425,19801000,69.825,19801200
1980-08-15 05:00:00,74.55,19800800,70.175,19801000,69.525,19801200
1980-08-18 05:00:00,74.025,19800800,68.725,19801000,68.125,19801200
1980-08-19 05:00:00,73.7,19800800,69.2,19801000,68.325,19801200
1980-08-20 05:00:00,73.075,19800800,69.6,19801000,68.85,19801200
1980-08-21 05:00:00,68.825,19800800,68.825,19801000,68.3,19801200
1980-08-22 05:00:00,68.45,19801000,68.7,19801200,70.225,19810200
1980-08-25 05:00:00,67.775,19801000,67.875,19801200,69.65,19810200
1980-08-26 05:00:00,68.725,19801000,69.0,19801200,70.6,19810200
1980-08-27 05:00:00,68.1,19801000,68.65,19801200,70.25,19810200
1980-08-28 05:00:00,68.25,19801000,68.95,19801200,70.425,19810200
1980-08-29 05:00:00,68.725,19801000,69.925,19801200,71.525,19810200
1980-09-02 05:00:00,69.325,19801000,70.575,19801200,71.875,19810200
1980-09-03 05:00:00,69.0,19801000,70.85,19801200,72.075,19810200
1980-09-04 05:00:00,69.375,19801000,71.125,19801200,72.325,19810200
1980-09-05 05:00:00,68.925,19801000,70.675,19801200,72.1,19810200
1980-09-08 05:00:00,69.275,19801000,71.3,19801200,72.875,19810200
1980-09-09 05:00:00,68.2,19801000,69.925,19801200,71.5,19810200
1980-09-10 05:00:00,67.95,19801000,69.45,19801200,71.125,19810200
1980-09-11 05:00:00,68.175,19801000,69.475,19801200,71.15,19810200
1980-09-12 05:00:00,68.35,19801000,69.525,19801200,70.975,19810200
1980-09-15 05:00:00,69.05,19801000,70.925,19801200,72.325,19810200
1980-09-16 05:00:00,69.025,19801000,71.05,19801200,72.6,19810200
1980-09-17 05:00:00,68.85,19801000,70.575,19801200,72.075,19810200
1980-09-18 05:00:00,68.875,19801000,70.425,19801200,72.025,19810200
1980-09-19 05:00:00,68.525,19801000,70.325,19801200,72.2,19810200
1980-09-22 05:00:00,68.175,19801000,70.175,19801200,71.85,19810200
1980-09-23 05:00:00,67.6,19801000,69.55,19801200,71.25,19810200
1980-09-24 05:00:00,68.4,19801000,70.075,19801200,71.825,19810200
1980-09-25 05:00:00,68.275,19801000,70.175,19801200,72.05,19810200
1980-09-26 05:00:00,67.825,19801000,69.3,19801200,71.125,19810200
1980-09-29 05:00:00,66.975,19801000,68.175,19801200,70.225,19810200
1980-09-30 05:00:00,67.325,19801000,68.925,19801200,70.875,19810200
1980-10-01 05:00:00,67.575,19801000,69.1,19801200,71.1,19810200
1980-10-02 05:00:00,67.175,19801000,68.25,19801200,70.325,19810200
1980-10-03 05:00:00,67.325,19801000,68.95,19801200,70.775,19810200
1980-10-06 05:00:00,68.825,19801000,70.45,19801200,72.275,19810200
1980-10-07 05:00:00,68.375,19801000,70.45,19801200,71.825,19810200
1980-10-08 05:00:00,68.95,19801000,71.15,19801200,73.0,19810200
1980-10-09 05:00:00,69.3,19801000,71.875,19801200,73.75,19810200
1980-10-10 05:00:00,68.95,19801000,71.525,19801200,73.55,19810200
1980-10-13 05:00:00,69.225,19801000,71.725,19801200,73.625,19810200
1980-10-14 05:00:00,69.125,19801000,71.675,19801200,73.575,19810200
1980-10-15 05:00:00,69.15,19801000,71.65,19801200,73.475,19810200
1980-10-16 05:00:00,68.675,19801000,71.025,19801200,72.825,19810200
1980-10-17 05:00:00,68.5,19801000,70.95,19801200,72.7,19810200
1980-10-20 05:00:00,68.1,19801000,71.1,19801200,72.925,19810200
1980-10-21 05:00:00,71.075,19801200,73.125,19810200,74.925,19810400
1980-10-22 05:00:00,71.825,19801200,74.0,19810200,75.775,19810400
1980-10-23 05:00:00,70.725,19801200,72.725,19810200,74.85,19810400
1980-10-24 05:00:00,70.925,19801200,73.05,19810200,75.125,19810400
1980-10-27 06:00:00,70.3,19801200,72.075,19810200,74.15,19810400
1980-10-28 06:00:00,70.05,19801200,72.125,19810200,74.275,19810400
1980-10-29 06:00:00,69.425,19801200,71.925,19810200,74.275,19810400
1980-10-30 06:00:00,69.6,19801200,71.9,19810200,74.025,19810400
1980-10-31 06:00:00,69.225,19801200,71.4,19810200,73.3,19810400
1980-11-03 06:00:00,69.775,19801200,72.0,19810200,73.75,19810400
1980-11-05 06:00:00,68.9,19801200,71.35,19810200,73.275,19810400
1980-11-06 06:00:00,69.15,19801200,71.575,19810200,73.575,19810400
1980-11-07 06:00:00,68.6,19801200,71.55,19810200,73.65,19810400
1980-11-10 06:00:00,67.225,19801200,70.25,19810200,72.55,19810400
1980-11-11 06:00:00,67.275,19801200,70.175,19810200,72.55,19810400
1980-11-12 06:00:00,67.125,19801200,70.65,19810200,72.925,19810400
1980-11-13 06:00:00,66.875,19801200,70.325,19810200,72.7,19810400
1980-11-14 06:00:00,67.025,19801200,71.1,19810200,73.65,19810400
1980-11-17 06:00:00,67.05,19801200,71.45,19810200,73.9,19810400
1980-11-18 06:00:00,66.475,19801200,71.125,19810200,73.7,19810400
1980-11-19 06:00:00,67.0,19801200,71.775,19810200,74.6,19810400
1980-11-20 06:00:00,67.6,19801200,72.575,19810200,75.05,19810400
1980-11-21 06:00:00,66.575,19801200,71.85,19810200,74.85,19810400
1980-11-24 06:00:00,66.4,19801200,71.15,19810200,73.75,19810400
1980-11-25 06:00:00,66.1,19801200,71.125,19810200,74.075,19810400
