DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2012-06-04 00:00:00,131.84,20121200,131.76,20120900,131.84,20121200
2012-06-05 00:00:00,131.46,20121200,131.36,20120900,131.46,20121200
2012-06-06 00:00:00,130.73,20121200,130.61,20120900,130.73,20121200
2012-06-07 00:00:00,128.91,20121200,129.08,20120900,128.91,20121200
2012-06-08 00:00:00,129.3,20121200,129.45,20120900,129.3,20121200
2012-06-11 00:00:00,128.87,20121200,129.08,20120900,128.87,20121200
2012-06-12 00:00:00,127.39,20121200,127.65,20120900,127.39,20121200
2012-06-13 00:00:00,127.2,20121200,127.54,20120900,127.2,20121200
2012-06-14 00:00:00,127.59,20121200,127.95,20120900,127.59,20121200
2012-06-15 00:00:00,128.61,20121200,128.93,20120900,128.61,20121200
2012-06-18 00:00:00,128.33,20121200,128.65,20120900,128.33,20121200
2012-06-19 00:00:00,127.92,20121200,128.22,20120900,127.92,20121200
2012-06-20 00:00:00,127.7,20121200,128.03,20120900,127.7,20121200
2012-06-21 00:00:00,127.96,20121200,128.29,20120900,127.96,20121200
2012-06-22 00:00:00,128.46,20121200,128.79,20120900,128.46,20121200
2012-06-25 00:00:00,128.6,20121200,128.93,20120900,128.6,20121200
2012-06-26 00:00:00,128.26,20121200,128.59,20120900,128.26,20121200
2012-06-27 00:00:00,128.11,20121200,128.44,20120900,128.11,20121200
2012-06-28 00:00:00,127.82,20121200,128.15,20120900,127.82,20121200
2012-06-29 00:00:00,127.72,20121200,128.05,20120900,127.72,20121200
2012-07-02 00:00:00,128.81,20121200,129.04,20120900,128.81,20121200
2012-07-03 00:00:00,129.29,20121200,129.44,20120900,129.29,20121200
2012-07-04 00:00:00,129.38,20121200,129.53,20120900,129.38,20121200
2012-07-05 00:00:00,129.8,20121200,129.93,20120900,129.8,20121200
2012-07-06 00:00:00,131.18,20121200,131.24,20120900,131.18,20121200
2012-07-09 00:00:00,130.66,20121200,130.8,20120900,130.66,20121200
2012-07-10 00:00:00,130.9,20121200,131.05,20120900,130.9,20121200
2012-07-11 00:00:00,131.74,20121200,131.82,20120900,131.74,20121200
2012-07-12 00:00:00,132.51,20121200,132.56,20120900,132.51,20121200
2012-07-13 00:00:00,132.55,20121200,132.61,20120900,132.55,20121200
2012-07-16 00:00:00,133.51,20121200,133.55,20120900,133.51,20121200
2012-07-17 00:00:00,134.1,20121200,134.14,20120900,134.1,20121200
2012-07-18 00:00:00,133.84,20121200,133.87,20120900,133.84,20121200
2012-07-19 00:00:00,134.34,20121200,134.33,20120900,134.34,20121200
2012-07-20 00:00:00,134.28,20121200,134.27,20120900,134.28,20121200
2012-07-23 00:00:00,133.26,20121200,133.34,20120900,133.26,20121200
2012-07-24 00:00:00,132.32,20121200,132.5,20120900,132.32,20121200
2012-07-25 00:00:00,131.99,20121200,132.18,20120900,131.99,20121200
2012-07-26 00:00:00,132.62,20121200,132.81,20120900,132.62,20121200
2012-07-27 00:00:00,132.6,20121200,132.7,20120900,132.6,20121200
2012-07-30 00:00:00,133.01,20121200,133.11,20120900,133.01,20121200
2012-07-31 00:00:00,134.33,20121200,134.26,20120900,134.33,20121200
2012-08-01 00:00:00,133.82,20121200,133.86,20120900,133.82,20121200
2012-08-02 00:00:00,134.34,20121200,134.34,20120900,134.34,20121200
2012-08-03 00:00:00,133.91,20121200,133.94,20120900,133.91,20121200
2012-08-06 00:00:00,133.82,20121200,133.94,20120900,133.82,20121200
2012-08-07 00:00:00,133.44,20121200,133.62,20120900,133.44,20121200
2012-08-08 00:00:00,133.74,20121200,133.92,20120900,133.74,20121200
