DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1980-04-01 06:00:00,583.0,19801000,555.0,19800700,583.0,19801000
1980-04-02 06:00:00,600.0,19801000,572.5,19800700,600.0,19801000
1980-04-03 06:00:00,593.2,19801000,568.2,19800700,593.2,19801000
1980-04-07 06:00:00,613.2,19801000,588.2,19800700,613.2,19801000
1980-04-08 06:00:00,643.2,19801000,618.2,19800700,643.2,19801000
1980-04-09 06:00:00,651.5,19801000,625.0,19800700,651.5,19801000
1980-04-10 06:00:00,669.5001,19801000,642.5,19800700,669.5001,19801000
1980-04-11 06:00:00,667.5,19801000,640.5,19800700,667.5,19801000
1980-04-14 06:00:00,647.5,19801000,620.5,19800700,647.5,19801000
1980-04-15 06:00:00,658.4,19801000,631.4,19800700,658.4,19801000
1980-04-16 06:00:00,638.4,19801000,611.4,19800700,638.4,19801000
1980-04-17 06:00:00,620.0,19801000,594.0,19800700,620.0,19801000
1980-04-18 06:00:00,621.6,19801000,595.6,19800700,621.6,19801000
1980-04-21 06:00:00,601.6,19801000,575.6,19800700,601.6,19801000
1980-04-22 06:00:00,587.0,19801000,563.0,19800700,587.0,19801000
1980-04-23 06:00:00,594.0,19801000,572.0,19800700,594.0,19801000
1980-04-24 06:00:00,614.0,19801000,592.0,19800700,614.0,19801000
1980-04-25 06:00:00,643.0,19801000,622.0,19800700,643.0,19801000
1980-04-28 05:00:00,603.0,19801000,582.0,19800700,603.0,19801000
1980-04-29 05:00:00,617.0,19801000,597.0,19800700,617.0,19801000
1980-04-30 05:00:00,587.0,19801000,567.0,19800700,587.0,19801000
1980-05-01 05:00:00,561.2,19801000,546.2,19800700,561.2,19801000
1980-05-02 05:00:00,562.7,19801000,547.7,19800700,562.7,19801000
1980-05-05 05:00:00,574.1,19801000,559.1,19800700,574.1,19801000
1980-05-06 05:00:00,565.3,19801000,550.3,19800700,565.3,19801000
1980-05-07 05:00:00,576.0,19801000,562.5,19800700,576.0,19801000
1980-05-08 05:00:00,579.5,19801000,568.5,19800700,579.5,19801000
1980-05-09 05:00:00,572.7,19801000,563.2,19800700,572.7,19801000
1980-05-12 05:00:00,566.6,19801000,558.1,19800700,566.6,19801000
1980-05-13 05:00:00,582.2,19801000,574.2,19800700,582.2,19801000
1980-05-14 05:00:00,592.0,19801000,585.0,19800700,592.0,19801000
1980-05-15 05:00:00,572.0,19801000,565.0,19800700,572.0,19801000
1980-05-16 05:00:00,574.4,19801000,566.4,19800700,574.4,19801000
1980-05-19 05:00:00,563.2,19801000,554.9,19800700,563.2,19801000
1980-05-20 05:00:00,559.0,19801000,550.2,19800700,559.0,19801000
1980-05-21 05:00:00,559.8,19801000,551.0,19800700,559.8,19801000
1980-05-22 05:00:00,560.0,19801000,552.3,19800700,560.0,19801000
1980-05-23 05:00:00,558.8,19801000,550.8,19800700,558.8,19801000
1980-05-27 05:00:00,578.5,19801000,570.8,19800700,578.5,19801000
1980-05-28 05:00:00,583.9,19801000,575.9,19800700,583.9,19801000
1980-05-29 05:00:00,583.3,19801000,575.3,19800700,583.3,19801000
1980-05-30 05:00:00,603.3,19801000,595.3,19800700,603.3,19801000
1980-06-02 05:00:00,633.3,19801000,622.6,19800700,633.3,19801000
1980-06-03 05:00:00,620.2,19801000,609.2,19800700,620.2,19801000
1980-06-04 05:00:00,650.2001,19801000,639.2,19800700,650.2001,19801000
1980-06-05 05:00:00,668.9001,19801000,654.9,19800700,668.9001,19801000
1980-06-06 05:00:00,684.5001,19801000,669.0,19800700,684.5001,19801000
