DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1981-08-03 05:00:00,759.75,19820100,740.0,19811100,759.75,19820100
1981-08-04 05:00:00,759.25,19820100,738.5,19811100,759.25,19820100
1981-08-05 05:00:00,752.75,19820100,732.75,19811100,752.75,19820100
1981-08-06 05:00:00,755.5,19820100,735.5,19811100,755.5,19820100
1981-08-07 05:00:00,751.25,19820100,732.5,19811100,751.25,19820100
1981-08-10 05:00:00,738.25,19820100,718.5,19811100,738.25,19820100
1981-08-11 05:00:00,739.75,19820100,719.5,19811100,739.75,19820100
1981-08-12 05:00:00,742.25,19820100,722.25,19811100,742.25,19820100
1981-08-13 05:00:00,714.0,19820100,694.5,19811100,714.0,19820100
1981-08-14 05:00:00,716.0,19820100,696.25,19811100,716.0,19820100
1981-08-17 05:00:00,719.5,19820100,700.0,19811100,719.5,19820100
1981-08-18 05:00:00,719.25,19820100,699.25,19811100,719.25,19820100
1981-08-19 05:00:00,730.5,19820100,710.5,19811100,730.5,19820100
1981-08-20 05:00:00,721.75,19820100,702.0,19811100,721.75,19820100
1981-08-21 05:00:00,708.0,19820100,688.5,19811100,708.0,19820100
1981-08-24 05:00:00,692.5,19820100,673.5,19811100,692.5,19820100
1981-08-25 05:00:00,692.25,19820100,672.75,19811100,692.25,19820100
1981-08-26 05:00:00,695.25,19820100,676.25,19811100,695.25,19820100
1981-08-27 05:00:00,688.0,19820100,669.5,19811100,688.0,19820100
1981-08-28 05:00:00,688.0,19820100,671.0,19811100,688.0,19820100
1981-08-31 05:00:00,691.25,19820100,671.5,19811100,691.25,19820100
1981-09-01 05:00:00,691.75,19820100,672.25,19811100,691.75,19820100
1981-09-02 05:00:00,693.25,19820100,674.75,19811100,693.25,19820100
1981-09-03 05:00:00,704.25,19820100,685.75,19811100,704.25,19820100
1981-09-04 05:00:00,695.25,19820100,677.25,19811100,695.25,19820100
1981-09-08 05:00:00,684.5,19820100,666.5,19811100,684.5,19820100
1981-09-09 05:00:00,686.5,19820100,667.5,19811100,686.5,19820100
1981-09-10 05:00:00,684.75,19820100,664.5,19811100,684.75,19820100
1981-09-11 05:00:00,682.75,19820100,661.5,19811100,682.75,19820100
1981-09-14 05:00:00,693.75,19820100,671.0,19811100,693.75,19820100
1981-09-15 05:00:00,701.5,19820100,678.0,19811100,701.5,19820100
1981-09-16 05:00:00,696.25,19820100,673.5,19811100,696.25,19820100
1981-09-17 05:00:00,694.25,19820100,672.0,19811100,694.25,19820100
1981-09-18 05:00:00,684.75,19820100,663.75,19811100,684.75,19820100
1981-09-21 05:00:00,682.25,19820100,660.75,19811100,682.25,19820100
1981-09-22 05:00:00,683.5,19820100,660.75,19811100,683.5,19820100
1981-09-23 05:00:00,677.75,19820100,655.5,19811100,677.75,19820100
1981-09-24 05:00:00,676.5,19820100,654.5,19811100,676.5,19820100
1981-09-25 05:00:00,668.25,19820100,646.5,19811100,668.25,19820100
1981-09-28 05:00:00,665.5,19820100,643.5,19811100,665.5,19820100
1981-09-29 05:00:00,667.75,19820100,646.5,19811100,667.75,19820100
1981-09-30 05:00:00,670.5,19820100,648.0,19811100,670.5,19820100
1981-10-01 05:00:00,689.5,19820300,667.5,19820100,689.5,19820300
1981-10-02 05:00:00,694.0,19820300,671.5,19820100,694.0,19820300
1981-10-05 05:00:00,706.75,19820300,685.5,19820100,706.75,19820300
1981-10-06 05:00:00,708.75,19820300,688.5,19820100,708.75,19820300
1981-10-07 05:00:00,710.0,19820300,689.75,19820100,710.0,19820300
1981-10-08 05:00:00,707.25,19820300,684.0,19820100,707.25,19820300
1981-10-09 05:00:00,709.5,19820300,687.0,19820100,709.5,19820300
1981-10-12 05:00:00,712.75,19820300,690.25,19820100,712.75,19820300
1981-10-13 05:00:00,716.25,19820300,694.75,19820100,716.25,19820300
1981-10-14 05:00:00,714.75,19820300,693.0,19820100,714.75,19820300
1981-10-15 05:00:00,707.5,19820300,685.0,19820100,707.5,19820300
1981-10-16 05:00:00,700.25,19820300,678.25,19820100,700.25,19820300
1981-10-19 05:00:00,697.5,19820300,676.25,19820100,697.5,19820300
1981-10-20 05:00:00,692.5,19820300,669.75,19820100,692.5,19820300
1981-10-21 05:00:00,694.5,19820300,672.0,19820100,694.5,19820300
1981-10-22 05:00:00,689.25,19820300,667.75,19820100,689.25,19820300
1981-10-23 05:00:00,691.25,19820300,669.25,19820100,691.25,19820300
1981-10-26 06:00:00,684.25,19820300,662.25,19820100,684.25,19820300
1981-10-27 06:00:00,683.75,19820300,661.5,19820100,683.75,19820300
1981-10-28 06:00:00,685.5,19820300,663.25,19820100,685.5,19820300
1981-10-29 06:00:00,690.5,19820300,668.25,19820100,690.5,19820300
1981-10-30 06:00:00,694.75,19820300,671.5,19820100,694.75,19820300
1981-11-02 06:00:00,698.75,19820300,677.0,19820100,698.75,19820300
1981-11-03 06:00:00,696.5,19820300,675.25,19820100,696.5,19820300
1981-11-04 06:00:00,694.25,19820300,673.75,19820100,694.25,19820300
1981-11-05 06:00:00,694.0,19820300,674.25,19820100,694.0,19820300
1981-11-06 06:00:00,689.5,19820300,669.0,19820100,689.5,19820300
1981-11-09 06:00:00,686.5,19820300,667.25,19820100,686.5,19820300
1981-11-10 06:00:00,670.5,19820300,652.25,19820100,670.5,19820300
1981-11-11 06:00:00,674.25,19820300,655.25,19820100,674.25,19820300
1981-11-12 06:00:00,675.25,19820300,656.75,19820100,675.25,19820300
1981-11-13 06:00:00,669.25,19820300,650.75,19820100,669.25,19820300
1981-11-16 06:00:00,664.25,19820300,645.75,19820100,664.25,19820300
1981-11-17 06:00:00,660.5,19820300,642.75,19820100,660.5,19820300
1981-11-18 06:00:00,660.5,19820300,642.5,19820100,660.5,19820300
