DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1980-02-26 00:00:00,55.47,19800900,54.94,19800600,55.47,19800900
1980-02-27 00:00:00,55.44,19800900,54.91,19800600,55.44,19800900
1980-02-28 00:00:00,57.09,19800900,56.59,19800600,57.09,19800900
1980-02-29 00:00:00,58.12,19800900,57.5,19800600,58.12,19800900
1980-03-03 00:00:00,57.16,19800900,56.53,19800600,57.16,19800900
1980-03-04 00:00:00,57.47,19800900,56.84,19800600,57.47,19800900
1980-03-05 00:00:00,57.09,19800900,56.41,19800600,57.09,19800900
1980-03-06 00:00:00,55.94,19800900,55.16,19800600,55.94,19800900
1980-03-07 00:00:00,56.91,19800900,56.12,19800600,56.91,19800900
1980-03-10 00:00:00,58.59,19800900,57.81,19800600,58.59,19800900
1980-03-11 00:00:00,59.22,19800900,58.38,19800600,59.22,19800900
1980-03-12 00:00:00,57.81,19800900,56.94,19800600,57.81,19800900
1980-03-13 00:00:00,58.59,19800900,57.69,19800600,58.59,19800900
1980-03-14 00:00:00,58.5,19800900,57.56,19800600,58.5,19800900
1980-03-17 00:00:00,59.16,19800900,58.19,19800600,59.16,19800900
1980-03-18 00:00:00,59.38,19800900,58.5,19800600,59.38,19800900
1980-03-19 00:00:00,59.69,19800900,58.75,19800600,59.69,19800900
1980-03-20 00:00:00,58.25,19800900,57.28,19800600,58.25,19800900
1980-03-21 00:00:00,57.81,19800900,56.88,19800600,57.81,19800900
1980-03-24 00:00:00,56.12,19800900,55.22,19800600,56.12,19800900
1980-03-25 00:00:00,55.75,19800900,54.84,19800600,55.75,19800900
1980-03-26 00:00:00,56.12,19800900,55.22,19800600,56.12,19800900
1980-03-27 00:00:00,55.62,19800900,55.0,19800600,55.62,19800900
1980-03-28 00:00:00,57.03,19800900,56.56,19800600,57.03,19800900
1980-03-31 00:00:00,57.16,19800900,56.53,19800600,57.16,19800900
1980-04-01 00:00:00,57.84,19800900,57.06,19800600,57.84,19800900
1980-04-02 00:00:00,56.97,19800900,56.19,19800600,56.97,19800900
1980-04-03 00:00:00,58.47,19800900,57.78,19800600,58.47,19800900
1980-04-07 00:00:00,60.03,19800900,59.34,19800600,60.03,19800900
1980-04-08 00:00:00,60.03,19800900,59.25,19800600,60.03,19800900
1980-04-09 00:00:00,59.97,19800900,59.22,19800600,59.97,19800900
1980-04-10 00:00:00,61.25,19800900,60.44,19800600,61.25,19800900
1980-04-11 00:00:00,62.31,19800900,61.47,19800600,62.31,19800900
1980-04-14 00:00:00,61.69,19800900,60.97,19800600,61.69,19800900
1980-04-15 00:00:00,62.19,19800900,61.41,19800600,62.19,19800900
1980-04-16 00:00:00,63.84,19800900,63.06,19800600,63.84,19800900
1980-04-17 00:00:00,64.62,19800900,63.91,19800600,64.62,19800900
1980-04-18 00:00:00,64.62,19800900,63.94,19800600,64.62,19800900
1980-04-21 00:00:00,64.53,19800900,63.88,19800600,64.53,19800900
1980-04-22 00:00:00,64.81,19800900,64.22,19800600,64.81,19800900
1980-04-23 00:00:00,63.75,19800900,63.22,19800600,63.75,19800900
1980-04-24 00:00:00,63.28,19800900,62.78,19800600,63.28,19800900
1980-04-25 00:00:00,63.34,19800900,62.81,19800600,63.34,19800900
1980-04-28 00:00:00,65.0,19800900,64.47,19800600,65.0,19800900
1980-04-29 00:00:00,64.84,19800900,64.34,19800600,64.84,19800900
1980-04-30 00:00:00,64.72,19800900,64.22,19800600,64.72,19800900
1980-05-01 00:00:00,65.66,19800900,65.31,19800600,65.66,19800900
1980-05-02 00:00:00,67.09,19800900,66.81,19800600,67.09,19800900
1980-05-05 00:00:00,67.44,19800900,67.12,19800600,67.44,19800900
1980-05-06 00:00:00,68.47,19800900,68.19,19800600,68.47,19800900
1980-05-07 00:00:00,68.09,19800900,67.94,19800600,68.09,19800900
1980-05-08 00:00:00,67.28,19800900,67.19,19800600,67.28,19800900
1980-05-09 00:00:00,66.97,19800900,66.91,19800600,66.97,19800900
1980-05-12 00:00:00,66.5,19800900,66.41,19800600,66.5,19800900
1980-05-13 00:00:00,67.03,19800900,66.97,19800600,67.03,19800900
1980-05-14 00:00:00,67.31,19800900,67.28,19800600,67.31,19800900
1980-05-15 00:00:00,65.62,19800900,65.62,19800600,65.62,19800900
1980-05-16 00:00:00,65.25,19800900,65.16,19800600,65.25,19800900
1980-05-19 00:00:00,64.31,19800900,64.22,19800600,64.31,19800900
1980-05-20 00:00:00,65.97,19800900,65.91,19800600,65.97,19800900
1980-05-21 00:00:00,66.88,19800900,66.81,19800600,66.88,19800900
1980-05-22 00:00:00,66.59,19800900,66.59,19800600,66.59,19800900
1980-05-23 00:00:00,68.25,19800900,68.25,19800600,68.25,19800900
1980-05-27 00:00:00,67.78,19800900,67.81,19800600,67.78,19800900
1980-05-28 00:00:00,67.09,19801200,67.22,19800900,67.09,19801200
1980-05-29 00:00:00,66.41,19801200,66.47,19800900,66.41,19801200
1980-05-30 00:00:00,66.12,19801200,66.19,19800900,66.12,19801200
1980-06-02 00:00:00,65.34,19801200,65.44,19800900,65.34,19801200
1980-06-03 00:00:00,66.72,19801200,66.88,19800900,66.72,19801200
1980-06-04 00:00:00,67.22,19801200,67.34,19800900,67.22,19801200
1980-06-05 00:00:00,67.62,19801200,67.84,19800900,67.62,19801200
1980-06-06 00:00:00,69.06,19801200,69.31,19800900,69.06,19801200
1980-06-09 00:00:00,69.22,19801200,69.5,19800900,69.22,19801200
1980-06-10 00:00:00,68.81,19801200,69.06,19800900,68.81,19801200
1980-06-11 00:00:00,69.34,19801200,69.62,19800900,69.34,19801200
1980-06-12 00:00:00,70.38,19801200,70.62,19800900,70.38,19801200
1980-06-13 00:00:00,71.38,19801200,71.62,19800900,71.38,19801200
1980-06-16 00:00:00,71.41,19801200,71.66,19800900,71.41,19801200
1980-06-17 00:00:00,70.91,19801200,71.16,19800900,70.91,19801200
1980-06-18 00:00:00,70.62,19801200,70.84,19800900,70.62,19801200
1980-06-19 00:00:00,70.69,19801200,70.94,19800900,70.69,19801200
1980-06-20 00:00:00,71.19,19801200,71.41,19800900,71.19,19801200
1980-06-23 00:00:00,69.66,19801200,69.84,19800900,69.66,19801200
1980-06-24 00:00:00,69.72,19801200,69.94,19800900,69.72,19801200
1980-06-25 00:00:00,69.12,19801200,69.28,19800900,69.12,19801200
1980-06-26 00:00:00,68.28,19801200,68.38,19800900,68.28,19801200
1980-06-27 00:00:00,67.47,19801200,67.56,19800900,67.47,19801200
1980-06-30 00:00:00,67.53,19801200,67.66,19800900,67.53,19801200
1980-07-01 00:00:00,66.5,19801200,66.56,19800900,66.5,19801200
1980-07-02 00:00:00,66.84,19801200,66.91,19800900,66.84,19801200
1980-07-03 00:00:00,67.34,19801200,67.47,19800900,67.34,19801200
1980-07-07 00:00:00,65.69,19801200,65.78,19800900,65.69,19801200
1980-07-08 00:00:00,67.22,19801200,67.31,19800900,67.22,19801200
1980-07-09 00:00:00,66.38,19801200,66.41,19800900,66.38,19801200
1980-07-10 00:00:00,65.97,19801200,66.03,19800900,65.97,19801200
1980-07-11 00:00:00,65.22,19801200,65.25,19800900,65.22,19801200
1980-07-14 00:00:00,64.75,19801200,64.78,19800900,64.75,19801200
1980-07-15 00:00:00,66.38,19801200,66.41,19800900,66.38,19801200
1980-07-16 00:00:00,67.03,19801200,67.16,19800900,67.03,19801200
1980-07-17 00:00:00,66.5,19801200,66.59,19800900,66.5,19801200
1980-07-18 00:00:00,65.84,19801200,65.97,19800900,65.84,19801200
1980-07-21 00:00:00,66.62,19801200,66.72,19800900,66.62,19801200
1980-07-22 00:00:00,66.09,19801200,66.19,19800900,66.09,19801200
1980-07-23 00:00:00,66.59,19801200,66.69,19800900,66.59,19801200
1980-07-24 00:00:00,65.69,19801200,65.78,19800900,65.69,19801200
1980-07-25 00:00:00,65.22,19801200,65.31,19800900,65.22,19801200
1980-07-28 00:00:00,64.56,19801200,64.66,19800900,64.56,19801200
1980-07-29 00:00:00,64.84,19801200,64.88,19800900,64.84,19801200
1980-07-30 00:00:00,63.66,19801200,63.69,19800900,63.66,19801200
1980-07-31 00:00:00,62.69,19801200,62.75,19800900,62.69,19801200
1980-08-01 00:00:00,62.97,19801200,63.0,19800900,62.97,19801200
1980-08-04 00:00:00,63.75,19801200,63.75,19800900,63.75,19801200
1980-08-05 00:00:00,63.25,19801200,63.28,19800900,63.25,19801200
1980-08-06 00:00:00,63.53,19801200,63.59,19800900,63.53,19801200
1980-08-07 00:00:00,64.0,19801200,64.06,19800900,64.0,19801200
1980-08-08 00:00:00,62.75,19801200,62.81,19800900,62.75,19801200
1980-08-11 00:00:00,61.91,19801200,61.97,19800900,61.91,19801200
1980-08-12 00:00:00,62.56,19801200,62.62,19800900,62.56,19801200
1980-08-13 00:00:00,62.72,19801200,62.78,19800900,62.72,19801200
1980-08-14 00:00:00,62.78,19801200,62.84,19800900,62.78,19801200
1980-08-15 00:00:00,63.56,19801200,63.59,19800900,63.56,19801200
1980-08-18 00:00:00,62.06,19801200,62.09,19800900,62.06,19801200
1980-08-19 00:00:00,61.5,19801200,61.53,19800900,61.5,19801200
1980-08-20 00:00:00,61.66,19801200,61.66,19800900,61.66,19801200
1980-08-21 00:00:00,61.56,19801200,61.59,19800900,61.56,19801200
1980-08-22 00:00:00,62.09,19801200,62.09,19800900,62.09,19801200
1980-08-25 00:00:00,61.09,19801200,61.09,19800900,61.09,19801200
1980-08-26 00:00:00,61.09,19801200,61.09,19800900,61.09,19801200
1980-08-27 00:00:00,60.59,19810300,60.44,19801200,60.59,19810300
1980-08-28 00:00:00,60.19,19810300,59.88,19801200,60.19,19810300
1980-08-29 00:00:00,61.28,19810300,61.06,19801200,61.28,19810300
1980-09-02 00:00:00,62.12,19810300,61.94,19801200,62.12,19810300
1980-09-03 00:00:00,62.59,19810300,62.44,19801200,62.59,19810300
1980-09-04 00:00:00,62.34,19810300,62.19,19801200,62.34,19810300
1980-09-05 00:00:00,62.03,19810300,61.88,19801200,62.03,19810300
1980-09-08 00:00:00,61.56,19810300,61.34,19801200,61.56,19810300
1980-09-09 00:00:00,62.22,19810300,62.03,19801200,62.22,19810300
1980-09-10 00:00:00,62.22,19810300,62.03,19801200,62.22,19810300
1980-09-11 00:00:00,61.47,19810300,61.28,19801200,61.47,19810300
1980-09-12 00:00:00,61.25,19810300,61.09,19801200,61.25,19810300
1980-09-15 00:00:00,60.28,19810300,60.03,19801200,60.28,19810300
1980-09-16 00:00:00,60.69,19810300,60.47,19801200,60.69,19810300
1980-09-17 00:00:00,60.12,19810300,59.91,19801200,60.12,19810300
1980-09-18 00:00:00,60.59,19810300,60.38,19801200,60.59,19810300
1980-09-19 00:00:00,61.12,19810300,60.97,19801200,61.12,19810300
1980-09-22 00:00:00,59.5,19810300,59.31,19801200,59.5,19810300
1980-09-23 00:00:00,59.22,19810300,59.06,19801200,59.22,19810300
1980-09-24 00:00:00,59.56,19810300,59.38,19801200,59.56,19810300
1980-09-25 00:00:00,58.84,19810300,58.62,19801200,58.84,19810300
1980-09-26 00:00:00,58.28,19810300,58.06,19801200,58.28,19810300
1980-09-29 00:00:00,57.69,19810300,57.41,19801200,57.69,19810300
1980-09-30 00:00:00,59.12,19810300,58.91,19801200,59.12,19810300
1980-10-01 00:00:00,59.0,19810300,58.75,19801200,59.0,19810300
1980-10-02 00:00:00,59.09,19810300,58.81,19801200,59.09,19810300
1980-10-03 00:00:00,60.78,19810300,60.47,19801200,60.78,19810300
1980-10-06 00:00:00,61.25,19810300,61.03,19801200,61.25,19810300
1980-10-07 00:00:00,60.78,19810300,60.62,19801200,60.78,19810300
1980-10-08 00:00:00,60.59,19810300,60.38,19801200,60.59,19810300
1980-10-09 00:00:00,62.03,19810300,61.84,19801200,62.03,19810300
1980-10-10 00:00:00,61.59,19810300,61.38,19801200,61.59,19810300
1980-10-13 00:00:00,61.44,19810300,61.25,19801200,61.44,19810300
1980-10-14 00:00:00,61.88,19810300,61.72,19801200,61.88,19810300
1980-10-15 00:00:00,62.06,19810300,61.88,19801200,62.06,19810300
1980-10-16 00:00:00,61.16,19810300,60.97,19801200,61.16,19810300
1980-10-17 00:00:00,60.38,19810300,60.16,19801200,60.38,19810300
1980-10-20 00:00:00,60.34,19810300,60.12,19801200,60.34,19810300
1980-10-21 00:00:00,59.72,19810300,59.5,19801200,59.72,19810300
1980-10-22 00:00:00,59.22,19810300,59.0,19801200,59.22,19810300
1980-10-23 00:00:00,59.16,19810300,58.91,19801200,59.16,19810300
1980-10-24 00:00:00,59.59,19810300,59.38,19801200,59.59,19810300
1980-10-27 00:00:00,57.94,19810300,57.69,19801200,57.94,19810300
1980-10-28 00:00:00,57.16,19810300,56.88,19801200,57.16,19810300
1980-10-29 00:00:00,56.59,19810300,56.34,19801200,56.59,19810300
1980-10-30 00:00:00,56.5,19810300,56.22,19801200,56.5,19810300
1980-10-31 00:00:00,56.81,19810300,56.5,19801200,56.81,19810300
1980-11-03 00:00:00,57.06,19810300,56.72,19801200,57.06,19810300
1980-11-05 00:00:00,55.88,19810300,55.44,19801200,55.88,19810300
1980-11-06 00:00:00,55.53,19810300,55.03,19801200,55.53,19810300
1980-11-07 00:00:00,56.69,19810300,56.16,19801200,56.69,19810300
1980-11-10 00:00:00,55.88,19810300,55.31,19801200,55.88,19810300
1980-11-11 00:00:00,57.53,19810300,56.97,19801200,57.53,19810300
1980-11-12 00:00:00,57.97,19810300,57.44,19801200,57.97,19810300
1980-11-13 00:00:00,58.06,19810300,57.53,19801200,58.06,19810300
1980-11-14 00:00:00,57.16,19810300,56.53,19801200,57.16,19810300
1980-11-17 00:00:00,56.56,19810300,55.84,19801200,56.56,19810300
1980-11-18 00:00:00,58.0,19810300,57.34,19801200,58.0,19810300
1980-11-19 00:00:00,58.69,19810300,57.97,19801200,58.69,19810300
1980-11-20 00:00:00,58.19,19810300,57.38,19801200,58.19,19810300
1980-11-21 00:00:00,57.44,19810300,56.62,19801200,57.44,19810300
1980-11-24 00:00:00,57.84,19810300,56.94,19801200,57.84,19810300
1980-11-25 00:00:00,57.78,19810300,56.81,19801200,57.78,19810300
1980-11-26 00:00:00,58.94,19810600,58.28,19810300,58.94,19810600
1980-11-28 00:00:00,58.38,19810600,57.69,19810300,58.38,19810600
1980-12-01 00:00:00,57.66,19810600,56.84,19810300,57.66,19810600
1980-12-02 00:00:00,57.94,19810600,57.06,19810300,57.94,19810600
1980-12-03 00:00:00,58.28,19810600,57.56,19810300,58.28,19810600
1980-12-04 00:00:00,58.12,19810600,57.44,19810300,58.12,19810600
1980-12-05 00:00:00,59.09,19810600,58.28,19810300,59.09,19810600
1980-12-08 00:00:00,58.47,19810600,57.62,19810300,58.47,19810600
1980-12-09 00:00:00,57.03,19810600,56.16,19810300,57.03,19810600
1980-12-10 00:00:00,56.84,19810600,55.88,19810300,56.84,19810600
1980-12-11 00:00:00,55.16,19810600,54.22,19810300,55.16,19810600
1980-12-12 00:00:00,56.84,19810600,55.88,19810300,56.84,19810600
1980-12-15 00:00:00,56.59,19810600,55.75,19810300,56.59,19810600
1980-12-16 00:00:00,56.12,19810600,55.31,19810300,56.12,19810600
1980-12-17 00:00:00,56.81,19810600,56.06,19810300,56.81,19810600
1980-12-18 00:00:00,57.5,19810600,56.72,19810300,57.5,19810600
1980-12-19 00:00:00,59.16,19810600,58.38,19810300,59.16,19810600
1980-12-22 00:00:00,60.81,19810600,60.03,19810300,60.81,19810600
1980-12-23 00:00:00,60.47,19810600,59.78,19810300,60.47,19810600
1980-12-24 00:00:00,60.78,19810600,60.06,19810300,60.78,19810600
1980-12-29 00:00:00,60.78,19810600,60.19,19810300,60.78,19810600
1980-12-30 00:00:00,59.78,19810600,59.19,19810300,59.78,19810600
1980-12-31 00:00:00,60.16,19810600,59.47,19810300,60.16,19810600
1981-01-02 00:00:00,60.56,19810600,59.88,19810300,60.56,19810600
1981-01-05 00:00:00,61.41,19810600,60.75,19810300,61.41,19810600
1981-01-06 00:00:00,61.25,19810600,60.62,19810300,61.25,19810600
1981-01-07 00:00:00,60.34,19810600,59.62,19810300,60.34,19810600
1981-01-08 00:00:00,60.47,19810600,59.69,19810300,60.47,19810600
1981-01-09 00:00:00,59.41,19810600,58.59,19810300,59.41,19810600
1981-01-12 00:00:00,59.31,19810600,58.53,19810300,59.31,19810600
1981-01-13 00:00:00,59.78,19810600,58.97,19810300,59.78,19810600
1981-01-14 00:00:00,59.38,19810600,58.59,19810300,59.38,19810600
1981-01-15 00:00:00,58.81,19810600,57.97,19810300,58.81,19810600
