DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2013-01-02 06:00:00,19.75,20130200,20.1,20130300,21.75,20130400
2013-01-03 06:00:00,19.6,20130200,20.2,20130300,21.75,20130400
2013-01-04 06:00:00,19.35,20130200,20.0,20130300,21.4,20130400
2013-01-07 06:00:00,19.4,20130200,20.05,20130300,21.45,20130400
2013-01-08 06:00:00,19.35,20130200,20.2,20130300,21.55,20130400
2013-01-09 06:00:00,18.9,20130200,19.85,20130300,21.25,20130400
2013-01-10 06:00:00,18.9,20130200,19.8,20130300,21.1,20130400
2013-01-11 06:00:00,18.45,20130200,19.45,20130300,20.8,20130400
2013-01-14 06:00:00,18.0,20130200,19.0,20130300,20.45,20130400
2013-01-15 06:00:00,17.95,20130200,18.95,20130300,20.35,20130400
2013-01-16 06:00:00,17.65,20130200,18.65,20130300,20.15,20130400
2013-01-17 06:00:00,17.35,20130200,18.4,20130300,19.75,20130400
2013-01-18 06:00:00,17.65,20130200,18.5,20130300,19.75,20130400
2013-01-21 06:00:00,16.8,20130200,17.85,20130300,19.2,20130400
2013-01-22 06:00:00,17.1,20130200,17.9,20130300,19.15,20130400
2013-01-23 06:00:00,17.35,20130200,17.65,20130300,19.05,20130400
2013-01-24 06:00:00,17.35,20130300,18.8,20130400,19.85,20130500
2013-01-25 06:00:00,17.15,20130300,18.4,20130400,19.65,20130500
2013-01-28 06:00:00,16.95,20130300,18.3,20130400,19.6,20130500
2013-01-29 06:00:00,16.75,20130300,18.25,20130400,19.5,20130500
2013-01-30 06:00:00,17.3,20130300,18.55,20130400,19.7,20130500
2013-01-31 06:00:00,17.8,20130300,19.0,20130400,19.85,20130500
2013-02-01 06:00:00,17.55,20130300,18.8,20130400,19.75,20130500
2013-02-04 06:00:00,19.5,20130300,20.3,20130400,20.75,20130500
2013-02-05 06:00:00,19.25,20130300,20.1,20130400,20.85,20130500
2013-02-06 06:00:00,19.75,20130300,20.6,20130400,21.0,20130500
2013-02-07 06:00:00,20.0,20130300,20.7,20130400,21.45,20130500
2013-02-08 06:00:00,19.0,20130300,19.8,20130400,20.65,20130500
2013-02-11 06:00:00,18.95,20130300,19.65,20130400,20.25,20130500
2013-02-12 06:00:00,18.75,20130300,19.55,20130400,20.4,20130500
2013-02-13 06:00:00,18.7,20130300,19.7,20130400,20.3,20130500
2013-02-14 06:00:00,18.6,20130300,19.9,20130400,20.55,20130500
2013-02-15 06:00:00,18.9,20130300,19.85,20130400,20.6,20130500
2013-02-18 06:00:00,18.95,20130300,19.85,20130400,20.5,20130500
2013-02-19 06:00:00,18.35,20130300,19.25,20130400,20.2,20130500
2013-02-20 06:00:00,18.95,20130300,19.85,20130400,20.35,20130500
2013-02-21 06:00:00,19.85,20130300,20.55,20130400,21.0,20130500
2013-02-22 06:00:00,18.9,20130300,19.7,20130400,20.3,20130500
2013-02-25 06:00:00,19.6,20130400,20.25,20130500,20.45,20130600
2013-02-26 06:00:00,22.35,20130400,22.6,20130500,22.15,20130600
2013-02-27 06:00:00,21.2,20130400,21.5,20130500,21.8,20130600
2013-02-28 06:00:00,20.7,20130400,21.25,20130500,21.5,20130600
2013-03-01 06:00:00,21.55,20130400,21.9,20130500,21.9,20130600
2013-03-04 06:00:00,21.3,20130400,21.65,20130500,21.8,20130600
2013-03-05 06:00:00,20.25,20130400,20.85,20130500,21.15,20130600
2013-03-06 06:00:00,20.35,20130400,20.8,20130500,21.05,20130600
2013-03-07 06:00:00,19.85,20130400,20.4,20130500,20.6,20130600
2013-03-08 06:00:00,19.1,20130400,19.8,20130500,20.25,20130600
2013-03-11 05:00:00,19.1,20130400,20.0,20130500,20.4,20130600
2013-03-12 05:00:00,18.9,20130400,19.85,20130500,20.45,20130600
2013-03-13 05:00:00,18.9,20130400,19.8,20130500,20.5,20130600
2013-03-14 05:00:00,18.15,20130400,19.25,20130500,20.15,20130600
2013-03-15 05:00:00,18.4,20130400,19.55,20130500,20.4,20130600
2013-03-18 05:00:00,19.25,20130400,20.05,20130500,20.65,20130600
2013-03-19 05:00:00,21.1,20130400,21.5,20130500,21.7,20130600
2013-03-20 05:00:00,19.8,20130400,20.5,20130500,21.15,20130600
2013-03-21 05:00:00,19.9,20130400,20.55,20130500,21.05,20130600
2013-03-22 05:00:00,20.3,20130400,20.85,20130500,21.35,20130600
2013-03-25 05:00:00,20.45,20130400,21.25,20130500,21.6,20130600
2013-03-26 05:00:00,20.8,20130400,21.5,20130500,21.85,20130600
2013-03-27 05:00:00,21.7,20130500,22.0,20130600,22.3,20130700
