DATE_TIME,current_contract,next_contract,carry_contract
1980-02-28 23:00:00,19800300,19800500,19800500
1980-04-30 05:00:00,19800500,19800700,19800700
1980-06-17 05:00:00,19800700,19800900,19800900
1980-08-19 05:00:00,19800900,19801200,19801200
1980-11-18 06:00:00,19801200,19810300,19810300
1981-02-27 23:00:00,19810300,19810500,19810500
1981-04-28 05:00:00,19810500,19810700,19810700
1981-06-17 05:00:00,19810700,19810900,19810900
1981-08-18 05:00:00,19810900,19811200,19811200
1981-11-17 06:00:00,19811200,19820300,19820300
1982-02-26 23:00:00,19820300,19820500,19820500
1982-04-28 05:00:00,19820500,19820700,19820700
1982-06-17 05:00:00,19820700,19820900,19820900
1982-08-18 05:00:00,19820900,19821200,19821200
1982-11-17 06:00:00,19821200,19830300,19830300
1983-02-28 23:00:00,19830300,19830500,19830500
1983-05-02 05:00:00,19830500,19830700,19830700
1983-06-17 05:00:00,19830700,19830900,19830900
1983-08-18 05:00:00,19830900,19831200,19831200
1983-11-17 06:00:00,19831200,19840300,19840300
1984-02-28 23:00:00,19840300,19840500,19840500
1984-04-30 05:00:00,19840500,19840700,19840700
1984-06-18 05:00:00,19840700,19840900,19840900
1984-08-20 05:00:00,19840900,19841200,19841200
1984-11-19 06:00:00,19841200,19850300,19850300
1985-02-15 06:00:00,19850300,19850500,19850500
1985-04-17 06:00:00,19850500,19850700,19850700
1985-06-18 05:00:00,19850700,19850900,19850900
1985-08-19 05:00:00,19850900,19851200,19851200
1985-11-18 06:00:00,19851200,19860300,19860300
1986-02-18 06:00:00,19860300,19860500,19860500
1986-04-17 06:00:00,19860500,19860700,19860700
1986-06-17 05:00:00,19860700,19860900,19860900
1986-08-19 05:00:00,19860900,19861200,19861200
1986-11-18 06:00:00,19861200,19870300,19870300
1987-02-17 06:00:00,19870300,19870500,19870500
1987-04-20 05:00:00,19870500,19870700,19870700
1987-06-17 05:00:00,19870700,19870900,19870900
1987-08-18 05:00:00,19870900,19871200,19871200
1987-11-17 06:00:00,19871200,19880300,19880300
1988-02-17 06:00:00,19880300,19880500,19880500
1988-04-18 05:00:00,19880500,19880700,19880700
1988-06-17 05:00:00,19880700,19880900,19880900
1988-08-18 05:00:00,19880900,19881200,19881200
1988-11-17 06:00:00,19881200,19890300,19890300
1989-02-15 06:00:00,19890300,19890500,19890500
1989-04-18 05:00:00,19890500,19890700,19890700
1989-06-19 05:00:00,19890700,19890900,19890900
1989-08-18 05:00:00,19890900,19891200,19891200
1989-11-17 06:00:00,19891200,19900300,19900300
1990-02-15 06:00:00,19900300,19900500,19900500
