DATE_TIME,current_contract,next_contract,carry_contract
2010-11-17 06:00:00,20101200,20110200,20110200
2011-01-18 06:00:00,20110200,20110400,20110400
2011-03-18 05:00:00,20110400,20110600,20110600
2011-05-18 05:00:00,20110600,20110800,20110800
2011-07-18 05:00:00,20110800,20111000,20111000
2011-09-16 05:00:00,20111000,20111200,20111200
2011-11-17 06:00:00,20111200,20120200,20120200
2012-01-18 06:00:00,20120200,20120400,20120400
2012-03-19 05:00:00,20120400,20120600,20120600
2012-05-18 05:00:00,20120600,20120800,20120800
2012-07-18 05:00:00,20120800,20121000,20121000
2012-09-17 05:00:00,20121000,20121200,20121200
2012-11-16 06:00:00,20121200,20130200,20130200
2013-01-18 06:00:00,20130200,20130400,20130400
2013-03-18 05:00:00,20130400,20130600,20130600
2013-05-17 05:00:00,20130600,20130800,20130800
2013-07-18 05:00:00,20130800,20131000,20131000
2013-09-17 05:00:00,20131000,20131200,20131200
2013-11-18 06:00:00,20131200,20140200,20140200
2014-01-17 06:00:00,20140200,20140400,20140400
2014-03-18 05:00:00,20140400,20140600,20140600
2014-05-19 05:00:00,20140600,20140800,20140800
2014-07-18 05:00:00,20140800,20141000,20141000
2014-09-17 05:00:00,20141000,20141200,20141200
2014-11-17 06:00:00,20141200,20150200,20150200
2015-01-16 06:00:00,20150200,20150400,20150400
2015-03-18 05:00:00,20150400,20150600,20150600
2015-05-18 05:00:00,20150600,20150800,20150800
2015-07-17 05:00:00,20150800,20151000,20151000
2015-09-17 05:00:00,20151000,20151200,20151200
2015-11-17 06:00:00,20151200,20160200,20160200
2016-01-19 06:00:00,20160200,20160400,20160400
2016-03-18 05:00:00,20160400,20160600,20160600
2016-05-18 05:00:00,20160600,20160800,20160800
2016-07-18 05:00:00,20160800,20161000,20161000
2016-09-16 05:00:00,20161000,20161200,20161200
2016-11-17 06:00:00,20161200,20170200,20170200
2017-01-18 06:00:00,20170200,20170400,20170400
2017-03-17 05:00:00,20170400,20170600,20170600
2017-05-18 05:00:00,20170600,20170800,20170800
2017-07-18 05:00:00,20170800,20171000,20171000
2017-09-18 05:00:00,20171000,20171200,20171200
2017-11-17 06:00:00,20171200,20180200,20180200
2018-01-18 06:00:00,20180200,20180400,20180400
2018-03-19 05:00:00,20180400,20180600,20180600
2018-05-18 05:00:00,20180600,20180800,20180800
2018-07-18 05:00:00,20180800,20181000,20181000
2018-09-17 05:00:00,20181000,20181200,20181200
2018-11-16 06:00:00,20181200,20190200,20190200
2019-01-18 06:00:00,20190200,20190400,20190400
2019-03-18 05:00:00,20190400,20190600,20190600
2019-05-17 05:00:00,20190600,20190800,20190800
2019-07-18 05:00:00,20190800,20191000,20191000
2019-09-17 05:00:00,20191000,20191200,20191200
2019-11-18 06:00:00,20191200,20200200,20200200
2020-01-17 06:00:00,20200200,20200400,20200400
2020-03-18 05:00:00,20200400,20200600,20200600
2020-05-18 05:00:00,20200600,20200800,20200800
2020-07-17 05:00:00,20200800,20201000,20201000
2020-09-17 05:00:00,20201000,20201200,20201200
2020-11-17 06:00:00,20201200,20210200,20210200
2021-01-19 06:00:00,20210200,20210400,20210400
2021-03-18 05:00:00,20210400,20210600,20210600
2021-05-18 05:00:00,20210600,20210800,20210800
2021-07-19 05:00:00,20210800,20211000,20211000
2021-09-17 05:00:00,20211000,20211200,20211200
2021-11-17 06:00:00,20211200,20220200,20220200
2022-01-18 06:00:00,20220200,20220400,20220400
2022-03-18 05:00:00,20220400,20220600,20220600
2022-05-18 05:00:00,20220600,20220800,20220800
2022-07-18 05:00:00,20220800,20221000,20221000
2022-09-16 05:00:00,20221000,20221200,20221200
2022-11-17 06:00:00,20221200,20230200,20230200
2023-01-18 06:00:00,20230200,20230400,20230400
2023-03-17 05:00:00,20230400,20230600,20230600
2023-05-18 05:00:00,20230600,20230800,20230800
2023-07-18 05:00:00,20230800,20231000,20231000
2023-09-18 05:00:00,20231000,20231200,20231200
2023-11-17 06:00:00,20231200,20240200,20240200
2024-01-18 06:00:00,20240200,20240400,20240400
2024-03-18 05:00:00,20240400,20240600,20240600
2024-05-17 05:00:00,20240600,20240800,20240800
2024-07-18 05:00:00,20240800,20241000,20241000
2024-09-17 05:00:00,20241000,20241200,20241200
2024-11-18 06:00:00,20241200,20250200,20250200
2025-01-17 06:00:00,20250200,20250400,20250400
2025-03-18 05:00:00,20250400,20250600,20250600
2025-05-19 05:00:00,20250600,20250800,20250800
2025-07-18 05:00:00,20250800,20251000,20251000
2025-09-17 05:00:00,20251000,20251200,20251200
2025-11-17 06:00:00,20251200,20260200,20260200
2026-01-16 06:00:00,20260200,20260400,20260400
2026-03-18 05:00:00,20260400,20260600,20260600
2026-05-18 05:00:00,20260600,20260800,20260800
2026-07-17 05:00:00,20260800,20261000,20261000
2026-08-31 05:00:00,20261000,20261200,20261200
