DATE_TIME,current_contract,next_contract,carry_contract
1978-10-17 05:00:00,19781200,19790200,19781000
1978-12-18 06:00:00,19790200,19790400,19781200
1979-02-14 06:00:00,19790400,19790600,19790200
1979-04-17 06:00:00,19790600,19790700,19790400
1979-05-16 05:00:00,19790700,19790800,19790600
1979-06-18 05:00:00,19790800,19791000,19790700
1979-08-16 05:00:00,19791000,19791200,19790800
1979-10-16 05:00:00,19791200,19800200,19791000
1979-12-18 06:00:00,19800200,19800400,19791200
1980-02-15 06:00:00,19800400,19800600,19800200
1980-04-16 06:00:00,19800600,19800700,19800400
1980-05-16 05:00:00,19800700,19800800,19800600
1980-06-17 05:00:00,19800800,19801000,19800700
1980-08-18 05:00:00,19801000,19801200,19800800
1980-10-16 05:00:00,19801200,19810200,19801000
1980-12-17 06:00:00,19810200,19810400,19801200
1981-02-17 06:00:00,19810400,19810600,19810200
1981-04-16 06:00:00,19810600,19810700,19810400
1981-05-18 05:00:00,19810700,19810800,19810600
1981-06-16 05:00:00,19810800,19811000,19810700
1981-08-17 05:00:00,19811000,19811200,19810800
1981-10-16 05:00:00,19811200,19820200,19811000
1981-12-17 06:00:00,19820200,19820400,19811200
1982-02-16 06:00:00,19820400,19820600,19820200
1982-04-16 06:00:00,19820600,19820700,19820400
1982-05-17 05:00:00,19820700,19820800,19820600
1982-06-16 05:00:00,19820800,19821000,19820700
1982-08-17 05:00:00,19821000,19821200,19820800
1982-10-18 05:00:00,19821200,19830200,19821000
1982-12-17 06:00:00,19830200,19830400,19821200
1983-02-15 06:00:00,19830400,19830600,19830200
1983-04-18 06:00:00,19830600,19830700,19830400
1983-05-17 05:00:00,19830700,19830800,19830600
1983-06-16 05:00:00,19830800,19831000,19830700
1983-08-16 05:00:00,19831000,19831200,19830800
1983-10-17 05:00:00,19831200,19840200,19831000
1983-12-19 06:00:00,19840200,19840400,19831200
1984-02-15 06:00:00,19840400,19840600,19840200
1984-04-17 06:00:00,19840600,19840700,19840400
1984-05-16 05:00:00,19840700,19840800,19840600
1984-06-18 05:00:00,19840800,19841000,19840700
